product_name,total_sales
dvds_blu_ray,24.0
beleza_saude,282.9
beleza_saude,439.8
esporte_lazer,98.9
sinalizacao_e_seguranca,65.98
esporte_lazer,150.0
cama_mesa_banho,390.0
cama_mesa_banho,439.8
fashion_bolsas_e_acessorios,244.29999999999998
cool_stuff,179.98
casa_construcao,319.6
consoles_games,434.6
moveis_decoracao,99.9
cama_mesa_banho,5831.77
audio,150.0
moveis_cozinha_area_de_servico_jantar_e_jardim,70.0
informatica_acessorios,44.99
eletrodomesticos,217.16
ferramentas_jardim,137.8
papelaria,5120.0
utilidades_domesticas,589.7
informatica_acessorios,1155.0
utilidades_domesticas,85.8
pet_shop,210.0
informatica_acessorios,349.0
malas_acessorios,1039.2
automotivo,49.8
consoles_games,119.98
relogios_presentes,4495.0
beleza_saude,226.9
eletronicos,36.0
esporte_lazer,652.5
automotivo,70.23
moveis_decoracao,226.97
cama_mesa_banho,41.99
brinquedos,433.0
cama_mesa_banho,47.0
informatica_acessorios,3699.99
cine_foto,107.98
utilidades_domesticas,173.93
cool_stuff,659.95
moveis_decoracao,227.70000000000002
moveis_decoracao,368.0
bebes,278.0
telefonia,69.86
ferramentas_jardim,19.8
telefonia,119.97
relogios_presentes,128.99
papelaria,138.0
eletronicos,25.2
bebidas,35.6
beleza_saude,49.9
informatica_acessorios,59.99
telefonia,69.36
utilidades_domesticas,65.8
automotivo,120.0
cama_mesa_banho,288.0
esporte_lazer,311.95
informatica_acessorios,519.6
relogios_presentes,1974.99
moveis_decoracao,229.0
brinquedos,320.0
cama_mesa_banho,129.0
artes,26.55
moveis_decoracao,279.9
automotivo,115.35
fashion_bolsas_e_acessorios,49.9
esporte_lazer,67.0
relogios_presentes,539.67
automotivo,112.9
moveis_escritorio,989.6999999999999
ferramentas_jardim,50.54
moveis_decoracao,44.9
relogios_presentes,34.9
telefonia_fixa,34.99
eletroportateis,91.89
telefonia,85.84
cama_mesa_banho,508.20000000000005
utilidades_domesticas,132.0
beleza_saude,1889.82
esporte_lazer,149.9
relogios_presentes,849.0
beleza_saude,1960.84
alimentos_bebidas,84.99
utilidades_domesticas,42.9
moveis_decoracao,99.9
automotivo,188.7
fashion_bolsas_e_acessorios,79.9
informatica_acessorios,499.98
informatica_acessorios,68.97
cama_mesa_banho,125.4
informatica_acessorios,2139.68
market_place,224.16
utilidades_domesticas,94.64
moveis_decoracao,49.9
informatica_acessorios,276.0
livros_importados,749.0
fashion_bolsas_e_acessorios,169.99
brinquedos,149.9
utilidades_domesticas,39.0
cama_mesa_banho,432.0
automotivo,349.1
beleza_saude,3157.2
utilidades_domesticas,7.29
moveis_decoracao,99.9
informatica_acessorios,2581.0
utilidades_domesticas,24.8
automotivo,99.0
automotivo,145.0
fashion_bolsas_e_acessorios,89.97
fashion_bolsas_e_acessorios,239.96
papelaria,578.0
esporte_lazer,59.9
beleza_saude,59.0
esporte_lazer,1139.4
fashion_bolsas_e_acessorios,69.9
cama_mesa_banho,518.6999999999999
automotivo,150.0
cama_mesa_banho,199.0
esporte_lazer,58.0
esporte_lazer,187.43
eletroportateis,87.52
ferramentas_jardim,271.0
relogios_presentes,309.9
ferramentas_jardim,103.6
alimentos_bebidas,14.9
esporte_lazer,214.29999999999998
esporte_lazer,34.9
moveis_decoracao,1377.0
automotivo,169.8
cama_mesa_banho,47.99
cool_stuff,20.0
fashion_bolsas_e_acessorios,60.900000000000006
automotivo,399.59999999999997
esporte_lazer,338.0
telefonia,59.0
utilidades_domesticas,31.98
utilidades_domesticas,648.0
relogios_presentes,2288.99
agro_industria_e_comercio,57.0
malas_acessorios,129.5
moveis_escritorio,3412.83
fashion_bolsas_e_acessorios,389.70000000000005
beleza_saude,990.0
moveis_decoracao,10.9
perfumaria,199.9
cool_stuff,634.0
construcao_ferramentas_jardim,144.25
cool_stuff,247.26
brinquedos,84.99
telefonia,104.96
moveis_decoracao,160.0
consoles_games,556.0
perfumaria,179.9
telefonia,69.0
utilidades_domesticas,89.69999999999999
malas_acessorios,399.6
moveis_decoracao,59.9
eletrodomesticos,171.0
cama_mesa_banho,579.6
eletrodomesticos,33.8
automotivo,124.99
construcao_ferramentas_seguranca,8.9
eletrodomesticos,86.4
eletrodomesticos,52.0
utilidades_domesticas,159.0
informatica_acessorios,27.99
utilidades_domesticas,299.9
esporte_lazer,279.6
esporte_lazer,179.7
eletronicos,133.4
construcao_ferramentas_jardim,197.8
instrumentos_musicais,299.99
automotivo,144.99
fashion_bolsas_e_acessorios,24.9
informatica_acessorios,1157.6
brinquedos,200.0
papelaria,874.0
bebes,99.9
informatica_acessorios,209.70000000000002
beleza_saude,434.70000000000005
esporte_lazer,115.0
cama_mesa_banho,21.99
moveis_decoracao,59.8
eletrodomesticos,376.8
moveis_decoracao,109.5
livros_interesse_geral,45.36
cama_mesa_banho,432.3
ferramentas_jardim,10759.3
pet_shop,80.0
papelaria,22.0
cama_mesa_banho,133.0
cama_mesa_banho,3720.6
informatica_acessorios,90.5
consoles_games,89.99
eletrodomesticos,89.99
construcao_ferramentas_construcao,33.0
consoles_games,127.8
beleza_saude,20.8
moveis_decoracao,269.99
perfumaria,163.99
cama_mesa_banho,259.0
esporte_lazer,29.9
bebes,770.0
beleza_saude,97.07
cama_mesa_banho,85.99
informatica_acessorios,149.0
utilidades_domesticas,278.0
cama_mesa_banho,38.0
informatica_acessorios,484.02
pet_shop,59.8
brinquedos,349.99
fashion_bolsas_e_acessorios,79.8
utilidades_domesticas,75.8
relogios_presentes,107.0
automotivo,56.0
automotivo,372.75
informatica_acessorios,219.60000000000002
utilidades_domesticas,129.97
cama_mesa_banho,63.99
cool_stuff,310.99
cama_mesa_banho,109.9
telefonia,79.9
informatica_acessorios,384.75
casa_construcao,93.99
cama_mesa_banho,559.98
automotivo,69.9
pet_shop,406.9
beleza_saude,129.0
informatica_acessorios,4753.0
construcao_ferramentas_construcao,49.9
instrumentos_musicais,183.8
moveis_decoracao,78.99
beleza_saude,640.96
moveis_decoracao,24.9
automotivo,318.98
beleza_saude,220.0
moveis_decoracao,68.0
relogios_presentes,229.0
automotivo,479.0
livros_tecnicos,139.29999999999998
utilidades_domesticas,107.76
bebes,388.0
cama_mesa_banho,43.73
artes_e_artesanato,21.99
utilidades_domesticas,1337.6100000000001
eletronicos,318.24
beleza_saude,74.99
relogios_presentes,179.0
esporte_lazer,299.98
moveis_decoracao,436.0
casa_conforto,219.8
moveis_decoracao,69.9
telefonia,37.39
utilidades_domesticas,59.0
cama_mesa_banho,71.9
beleza_saude,267.0
moveis_decoracao,159.88
